source,target,weight
11927,13282,0.5142857142857142
11927,12874,0.3783783783783784
11927,13794,0.275
11927,11691,0.3783783783783784
11927,10140,0.21428571428571427
11927,11692,0.35135135135135137
11927,12946,0.3888888888888889
11927,11945,0.3333333333333333
11927,11854,0.18421052631578946
11927,10509,0.0975609756097561
11927,10610,0.25
11927,11868,0.3235294117647059
11927,11285,0.25
11927,12471,0.36363636363636365
11927,11408,0.21621621621621623
11927,13991,0.1891891891891892
11927,12381,0.1891891891891892
11927,5885,0.075
11927,10944,0.22857142857142856
11927,9246,0.075
11927,13034,0.13157894736842105
11927,9731,0.16666666666666666
11927,10111,0.10526315789473684
11927,19724,0.05
11927,10249,0.13513513513513514
11927,14248,0.13513513513513514
11927,8484,0.10526315789473684
11927,15604,0.1388888888888889
11927,9011,0.05263157894736842
11927,6063,0.05128205128205128
11927,7563,0.1388888888888889
11927,12476,0.36666666666666664
11927,14603,0.10810810810810811
11927,16569,0.20588235294117646
11927,15547,0.14285714285714285
11927,6342,0.02564102564102564
11927,10246,0.14285714285714285
11927,23612,0.02564102564102564
11927,3922,0.02564102564102564
11927,3662,0.05263157894736842
11927,13544,0.21212121212121213
11927,11999,0.21212121212121213
11927,18031,0.08333333333333333
11927,18313,0.08333333333333333
11927,17663,0.08333333333333333
11927,10402,0.11428571428571428
11927,14546,0.18181818181818182
11927,11599,0.21875
11927,6630,0.05405405405405406
11927,21228,0.05405405405405406
11927,7001,0.05405405405405406
11927,10751,0.21875
11927,17566,0.11764705882352941
11927,10727,0.11764705882352941
11927,18361,0.02702702702702703
11927,15748,0.15151515151515152
11927,19729,0.02702702702702703
11927,14192,0.05555555555555555
11927,13776,0.15151515151515152
11927,17984,0.05555555555555555
11927,17228,0.02702702702702703
11927,17643,0.02702702702702703
11927,8370,0.027777777777777776
11927,16913,0.12121212121212122
11927,11445,0.12121212121212122
11927,53292,0.027777777777777776
11927,12455,0.12121212121212122
11927,16377,0.12121212121212122
11927,5272,0.027777777777777776
11927,51166,0.027777777777777776
11927,9722,0.15625
11927,5379,0.05714285714285714
11927,10288,0.15625
11927,9771,0.027777777777777776
11927,8167,0.058823529411764705
11927,8669,0.16129032258064516
11927,17242,0.125
11927,11239,0.125
11927,14222,0.125
11927,47800,0.02857142857142857
11927,8612,0.058823529411764705
11927,51838,0.02857142857142857
11927,8440,0.058823529411764705
11927,51762,0.058823529411764705
11927,35982,0.029411764705882353
11927,50133,0.029411764705882353
11927,9244,0.029411764705882353
11927,9804,0.06060606060606061
11927,38080,0.029411764705882353
11927,18857,0.029411764705882353
11927,12466,0.06060606060606061
11927,52036,0.029411764705882353
11927,14285,0.16666666666666666
11927,2077,0.06060606060606061
11927,37834,0.029411764705882353
11927,13407,0.06060606060606061
11927,21676,0.029411764705882353
11927,13360,0.09375
11927,6252,0.06060606060606061
11927,8510,0.029411764705882353
11927,8454,0.06060606060606061
13282,12874,0.375
13282,13794,0.29411764705882354
13282,11691,0.2571428571428571
13282,10140,0.2571428571428571
13282,11692,0.2647058823529412
13282,12946,0.3870967741935484
13282,11945,0.28125
13282,11854,0.15151515151515152
13282,10509,0.05555555555555555
13282,10610,0.15151515151515152
13282,11868,0.15151515151515152
13282,11285,0.1875
13282,12471,0.26666666666666666
13282,11408,0.15151515151515152
13282,13991,0.1935483870967742
13282,12381,0.23333333333333334
13282,5885,0.058823529411764705
13282,10944,0.16129032258064516
13282,9246,0.09090909090909091
13282,13034,0.2413793103448276
13282,9731,0.12903225806451613
13282,10111,0.09375
13282,19724,0.09375
13282,10249,0.12903225806451613
13282,14248,0.25
13282,8484,0.06060606060606061
13282,15604,0.21428571428571427
13282,9011,0.03125
13282,6063,0.030303030303030304
13282,7563,0.0967741935483871
13282,12476,0.1724137931034483
13282,14603,0.25925925925925924
13282,16569,0.3076923076923077
13282,15547,0.13793103448275862
13282,10246,0.13793103448275862
13282,3922,0.03125
13282,3662,0.1
13282,13544,0.17857142857142858
13282,11999,0.17857142857142858
13282,18031,0.06666666666666667
13282,18313,0.10344827586206896
13282,17663,0.10344827586206896
13282,10402,0.03225806451612903
13282,14546,0.14285714285714285
13282,11599,0.14285714285714285
13282,6630,0.06666666666666667
13282,7001,0.06666666666666667
13282,10751,0.06666666666666667
13282,17566,0.24
13282,10727,0.14814814814814814
13282,15748,0.19230769230769232
13282,14192,0.19230769230769232
13282,13776,0.10714285714285714
13282,17984,0.14814814814814814
13282,17228,0.06896551724137931
13282,17643,0.06896551724137931
13282,16913,0.2
13282,11445,0.1111111111111111
13282,53292,0.07142857142857142
13282,12455,0.07142857142857142
13282,19171,0.07142857142857142
13282,16377,0.2
13282,9722,0.15384615384615385
13282,5379,0.1111111111111111
13282,10288,0.07142857142857142
13282,9771,0.034482758620689655
13282,51480,0.034482758620689655
13282,8167,0.03571428571428571
13282,8669,0.11538461538461539
13282,17242,0.16
13282,11239,0.07407407407407407
13282,14222,0.16
13282,47800,0.03571428571428571
13282,8612,0.07407407407407407
13282,8440,0.07407407407407407
13282,21733,0.03571428571428571
13282,20406,0.03571428571428571
13282,51762,0.03571428571428571
13282,50133,0.037037037037037035
13282,9244,0.037037037037037035
13282,9804,0.07692307692307693
13282,18857,0.07692307692307693
13282,20967,0.037037037037037035
13282,12466,0.037037037037037035
13282,52036,0.037037037037037035
13282,14285,0.12
13282,2077,0.12
13282,13407,0.037037037037037035
13282,13360,0.07692307692307693
13282,6252,0.07692307692307693
13282,8454,0.07692307692307693
12874,13794,0.3548387096774194
12874,11691,0.4
12874,10140,0.2727272727272727
12874,11692,0.5185185185185185
12874,12946,0.5185185185185185
12874,11945,0.5
12874,11854,0.2413793103448276
12874,10509,0.2
12874,10610,0.2857142857142857
12874,11868,0.44
12874,11285,0.2413793103448276
12874,12471,0.2413793103448276
12874,11408,0.2413793103448276
12874,13991,0.34615384615384615
12874,12381,0.4
12874,5885,0.030303030303030304
12874,10944,0.3076923076923077
12874,9246,0.13333333333333333
12874,13034,0.4782608695652174
12874,9731,0.17857142857142858
12874,10111,0.13793103448275862
12874,19724,0.06451612903225806
12874,10249,0.1
12874,14248,0.32
12874,8484,0.1
12874,15604,0.18518518518518517
12874,9011,0.03333333333333333
12874,6063,0.03225806451612903
12874,7563,0.03225806451612903
12874,12476,0.14285714285714285
12874,14603,0.28
12874,16569,0.14285714285714285
12874,15547,0.14814814814814814
12874,6342,0.06896551724137931
12874,10246,0.06896551724137931
12874,13544,0.19230769230769232
12874,11999,0.24
12874,18031,0.034482758620689655
12874,18313,0.1111111111111111
12874,17663,0.1111111111111111
12874,10402,0.1111111111111111
12874,14546,0.2
12874,11599,0.07142857142857142
12874,6630,0.07142857142857142
12874,21228,0.034482758620689655
12874,7001,0.07142857142857142
12874,10751,0.2
12874,17566,0.20833333333333334
12874,10727,0.11538461538461539
12874,15748,0.11538461538461539
12874,14192,0.16
12874,13776,0.20833333333333334
12874,17984,0.11538461538461539
12874,17228,0.11538461538461539
12874,17643,0.11538461538461539
12874,8370,0.037037037037037035
12874,16913,0.07692307692307693
12874,11445,0.16666666666666666
12874,8710,0.037037037037037035
12874,12455,0.16666666666666666
12874,19171,0.037037037037037035
12874,16377,0.21739130434782608
12874,9722,0.037037037037037035
12874,10288,0.12
12874,9771,0.037037037037037035
12874,8167,0.08
12874,17242,0.038461538461538464
12874,5461,0.038461538461538464
12874,11239,0.08
12874,14222,0.038461538461538464
12874,8440,0.038461538461538464
12874,21733,0.038461538461538464
12874,20406,0.038461538461538464
12874,51762,0.038461538461538464
12874,9244,0.08333333333333333
12874,9804,0.04
12874,18857,0.08333333333333333
12874,20967,0.04
12874,12466,0.13043478260869565
12874,52036,0.04
12874,13407,0.04
12874,8510,0.04
13794,11691,0.2727272727272727
13794,10140,0.2
13794,11692,0.36666666666666664
13794,12946,0.36666666666666664
13794,11945,0.3448275862068966
13794,11854,0.09090909090909091
13794,10509,0.058823529411764705
13794,10610,0.2413793103448276
13794,11868,0.3333333333333333
13794,11285,0.2
13794,12471,0.125
13794,11408,0.09090909090909091
13794,13991,0.4583333333333333
13794,12381,0.25
13794,5885,0.030303030303030304
13794,10944,0.25925925925925924
13794,9246,0.0625
13794,13034,0.36
13794,9731,0.1
13794,10111,0.1
13794,19724,0.2222222222222222
13794,10249,0.03125
13794,14248,0.32
13794,8484,0.06451612903225806
